halfsum_score,instruct_score,k_lora_score,reflective_augmented_more_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.497,0.000,0.000,0.800,0.464,0.742,0.000
0.397,0.000,0.000,0.000,0.489,0.757,0.000
0.000,0.000,0.000,0.000,0.671,0.598,0.000
0.000,0.000,0.000,0.471,0.000,0.543,0.000
0.000,0.000,0.000,0.599,0.571,0.757,0.000
0.397,0.000,0.713,0.598,0.489,0.471,0.000
0.000,0.000,0.000,0.000,0.464,0.598,0.000
0.000,0.500,0.713,0.000,0.489,0.000,0.000
0.543,0.500,0.543,0.571,0.571,0.571,0.000
0.571,0.000,0.742,0.599,0.000,0.640,0.571
0.497,0.442,0.000,0.599,0.439,0.543,0.000
0.000,0.497,0.000,0.370,0.512,0.757,0.000
0.421,0.000,0.542,0.000,0.598,0.770,0.000
0.000,0.000,0.000,0.743,0.671,0.771,0.000
