halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.640,0.319,0.669,0.497,0.364,0.620,0.596
0.397,0.000,0.000,0.548,0.397,0.669,0.000
0.397,0.000,0.531,0.397,0.489,0.770,0.620
0.397,0.000,0.667,0.499,0.397,0.717,0.633
0.445,0.397,0.640,0.531,0.445,0.698,0.640
0.397,0.319,0.640,0.397,0.342,0.770,0.640
0.497,0.500,0.640,0.528,0.397,0.633,0.633
0.497,0.319,0.599,0.599,0.364,0.489,0.667
0.370,0.342,0.489,0.000,0.370,0.596,0.000
0.489,0.397,0.667,0.571,0.364,0.770,0.667
0.598,0.397,0.531,0.571,0.364,0.698,0.667
0.370,0.370,0.000,0.000,0.000,0.464,0.596
0.000,0.000,0.531,0.442,0.342,0.698,0.000
0.489,0.397,0.637,0.397,0.489,0.667,0.645
0.421,0.397,0.000,0.571,0.397,0.770,0.633
0.640,0.000,0.000,0.598,0.489,0.700,0.000
0.000,0.000,0.000,0.640,0.000,0.000,0.000
0.633,0.471,0.000,0.000,0.000,0.000,0.000
0.489,0.000,0.000,0.471,0.370,0.645,0.000
0.000,0.000,0.582,0.497,0.421,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.471,0.000,0.599,0.598,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.800,0.000
0.000,0.000,0.620,0.599,0.000,0.684,0.000
0.000,0.000,0.000,0.471,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.717,0.000
0.000,0.000,0.000,0.000,0.000,0.698,0.000
0.000,0.000,0.000,0.700,0.000,0.684,0.000
0.000,0.000,0.000,0.370,0.000,0.599,0.000
0.640,0.319,0.640,0.421,0.397,0.800,0.000
0.000,0.000,0.000,0.370,0.000,0.717,0.000
0.000,0.000,0.000,0.599,0.000,0.645,0.000
0.000,0.000,0.000,0.671,0.471,0.633,0.000
0.000,0.000,0.000,0.000,0.000,0.770,0.000
0.669,0.397,0.000,0.000,0.489,0.000,0.000
0.571,0.000,0.000,0.571,0.000,0.671,0.000
0.000,0.000,0.000,0.327,0.397,0.754,0.000
0.000,0.000,0.000,0.421,0.000,0.578,0.000
0.000,0.370,0.000,0.397,0.000,0.633,0.000
0.421,0.397,0.000,0.000,0.397,0.770,0.596
0.421,0.000,0.000,0.370,0.000,0.738,0.596
0.000,0.000,0.000,0.540,0.000,0.531,0.000
0.000,0.000,0.000,0.370,0.370,0.669,0.596
0.000,0.000,0.000,0.598,0.000,0.000,0.000
0.000,0.000,0.497,0.598,0.319,0.741,0.596
0.000,0.370,0.000,0.497,0.370,0.667,0.648
0.000,0.000,0.000,0.421,0.000,0.669,0.000
0.489,0.370,0.571,0.599,0.421,0.667,0.000
0.397,0.000,0.669,0.000,0.421,0.643,0.000
0.000,0.000,0.000,0.397,0.489,0.669,0.667
0.397,0.000,0.640,0.397,0.489,0.571,0.000
0.397,0.000,0.543,0.599,0.364,0.770,0.596
0.000,0.370,0.000,0.397,0.000,0.667,0.000
0.000,0.300,0.000,0.499,0.000,0.566,0.000
0.489,0.000,0.000,0.499,0.489,0.684,0.000
0.445,0.370,0.000,0.397,0.000,0.700,0.000
0.000,0.000,0.000,0.543,0.000,0.645,0.000
0.489,0.227,0.000,0.000,0.397,0.770,0.000
0.543,0.000,0.000,0.471,0.489,0.397,0.648
0.000,0.000,0.000,0.421,0.000,0.743,0.531
0.397,0.295,0.607,0.000,0.364,0.717,0.648
0.000,0.370,0.000,0.569,0.000,0.633,0.000
0.489,0.000,0.000,0.000,0.370,0.000,0.000
0.000,0.000,0.000,0.397,0.489,0.717,0.000
0.000,0.342,0.000,0.000,0.489,0.640,0.633
0.633,0.000,0.000,0.000,0.397,0.669,0.000
0.000,0.000,0.000,0.497,0.445,0.000,0.000
0.640,0.000,0.000,0.000,0.397,0.667,0.000
0.000,0.000,0.000,0.531,0.342,0.717,0.633
0.000,0.000,0.000,0.598,0.000,0.000,0.000
0.450,0.000,0.531,0.521,0.370,0.640,0.000
0.489,0.000,0.000,0.000,0.364,0.669,0.531
0.370,0.000,0.000,0.397,0.421,0.640,0.000
0.000,0.000,0.000,0.754,0.364,0.599,0.000
0.000,0.000,0.000,0.499,0.000,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.640,0.000
0.000,0.370,0.000,0.000,0.000,0.640,0.000
0.000,0.000,0.000,0.421,0.445,0.698,0.000
0.397,0.000,0.742,0.455,0.319,0.667,0.571
0.364,0.471,0.743,0.000,0.364,0.667,0.717
0.000,0.439,0.000,0.640,0.397,0.489,0.000
0.000,0.000,0.000,0.000,0.000,0.684,0.000
0.000,0.471,0.000,0.397,0.295,0.596,0.000
0.000,0.000,0.000,0.471,0.000,0.633,0.000
0.000,0.000,0.000,0.640,0.421,0.000,0.000
0.000,0.000,0.000,0.471,0.000,0.633,0.000
0.000,0.000,0.000,0.397,0.364,0.667,0.640
0.000,0.300,0.000,0.512,0.397,0.640,0.637
0.000,0.000,0.000,0.500,0.000,0.000,0.000
0.439,0.000,0.000,0.421,0.364,0.684,0.531
0.399,0.000,0.000,0.497,0.364,0.000,0.000
0.000,0.000,0.000,0.671,0.489,0.596,0.000
0.000,0.000,0.000,0.327,0.000,0.599,0.000
0.421,0.000,0.000,0.000,0.489,0.582,0.566
0.364,0.397,0.000,0.598,0.364,0.591,0.633
0.000,0.471,0.000,0.528,0.397,0.738,0.531
0.000,0.000,0.000,0.468,0.489,0.669,0.000
0.000,0.000,0.000,0.000,0.489,0.000,0.000
0.000,0.342,0.000,0.671,0.000,0.671,0.000
0.364,0.397,0.481,0.727,0.364,0.598,0.000
0.671,0.000,0.633,0.669,0.364,0.598,0.000
0.397,0.000,0.000,0.000,0.000,0.698,0.000
0.563,0.000,0.540,0.397,0.445,0.700,0.633
0.582,0.319,0.000,0.643,0.364,0.640,0.596
0.000,0.000,0.566,0.439,0.370,0.633,0.531
0.000,0.397,0.000,0.000,0.364,0.645,0.531
0.000,0.397,0.397,0.599,0.364,0.667,0.596
0.000,0.000,0.000,0.000,0.364,0.531,0.000
