halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.000,0.000,0.000,0.000,0.370,0.700,0.620
0.000,0.000,0.000,0.742,0.742,0.754,0.669
0.000,0.000,0.000,0.643,0.000,0.717,0.000
0.445,0.471,0.713,0.669,0.421,0.770,0.447
0.000,0.000,0.743,0.643,0.421,0.771,0.600
0.000,0.000,0.000,0.500,0.000,0.770,0.000
0.397,0.397,0.669,0.770,0.397,0.770,0.000
0.000,0.370,0.000,0.599,0.000,0.738,0.000
0.000,0.000,0.000,0.742,0.640,0.669,0.738
0.000,0.000,0.770,0.657,0.000,0.770,0.684
0.000,0.000,0.000,0.700,0.397,0.800,0.000
0.397,0.468,0.770,0.000,0.000,0.770,0.640
0.445,0.497,0.000,0.800,0.489,0.770,0.742
0.599,0.439,0.000,0.742,0.671,0.742,0.754
0.397,0.000,0.000,0.542,0.000,0.669,0.531
0.000,0.000,0.000,0.599,0.447,0.770,0.738
0.000,0.000,0.000,0.669,0.000,0.741,0.640
0.000,0.000,0.000,0.669,0.000,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.633
0.000,0.270,0.800,0.616,0.445,0.742,0.770
0.000,0.000,0.000,0.700,0.489,0.800,0.738
0.000,0.000,0.000,0.700,0.489,0.633,0.000
0.640,0.370,0.741,0.000,0.489,0.770,0.540
0.000,0.000,0.000,0.421,0.397,0.640,0.738
0.397,0.370,0.000,0.616,0.000,0.742,0.705
0.000,0.442,0.000,0.669,0.000,0.684,0.742
0.370,0.540,0.543,0.669,0.397,0.669,0.569
0.000,0.000,0.000,0.599,0.421,0.770,0.645
0.000,0.000,0.000,0.657,0.000,0.000,0.540
0.000,0.000,0.000,0.599,0.489,0.800,0.000
0.000,0.000,0.000,0.000,0.000,0.640,0.000
0.000,0.616,0.000,0.616,0.489,0.738,0.640
0.445,0.000,0.571,0.770,0.421,0.648,0.000
0.000,0.000,0.000,0.800,0.445,0.771,0.700
0.000,0.000,0.000,0.727,0.593,0.770,0.633
0.421,0.439,0.669,0.742,0.489,0.770,0.599
0.397,0.370,0.000,0.616,0.397,0.770,0.667
0.000,0.000,0.000,0.742,0.000,0.669,0.531
0.000,0.000,0.000,0.640,0.421,0.800,0.342
0.000,0.000,0.842,0.770,0.489,0.771,0.000
0.000,0.000,0.000,0.800,0.599,0.637,0.640
