aggr7_augmented_score,baseline_score,halfsum_score,instructed_score,instructed_style_score,instructed_theme_score,k_lora_style_score
0.000,0.421,0.000,0.397,0.397,0.489,0.397
0.000,0.000,0.319,0.515,0.397,0.000,0.000
0.000,0.397,0.397,0.471,0.397,0.000,0.000
0.421,0.000,0.397,0.000,0.643,0.000,0.000
0.447,0.000,0.000,0.599,0.421,0.578,0.000
0.295,0.370,0.000,0.000,0.000,0.397,0.000
0.447,0.582,0.000,0.000,0.000,0.606,0.000
0.397,0.598,0.370,0.598,0.421,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.342,0.000,0.319,0.000,0.531,0.439
0.000,0.421,0.000,0.397,0.489,0.000,0.000
0.397,0.000,0.000,0.397,0.000,0.000,0.000
0.598,0.397,0.489,0.327,0.554,0.620,0.000
0.421,0.489,0.342,0.421,0.397,0.000,0.000
0.000,0.489,0.295,0.447,0.397,0.606,0.000
0.370,0.000,0.370,0.407,0.421,0.000,0.000
0.319,0.421,0.000,0.000,0.000,0.489,0.000
0.578,0.000,0.439,0.000,0.489,0.000,0.000
0.671,0.000,0.000,0.489,0.319,0.000,0.000
0.571,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.528,0.319,0.000,0.000,0.684,0.000
0.497,0.489,0.489,0.397,0.489,0.000,0.000
0.000,0.700,0.000,0.397,0.000,0.000,0.000
0.633,0.300,0.295,0.421,0.000,0.397,0.000
0.370,0.000,0.000,0.370,0.599,0.000,0.000
0.648,0.370,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.598,0.000,0.000
0.370,0.270,0.364,0.700,0.489,0.633,0.000
0.698,0.319,0.370,0.489,0.397,0.640,0.497
0.397,0.640,0.000,0.000,0.489,0.000,0.000
0.000,0.319,0.542,0.000,0.397,0.501,0.000
0.770,0.571,0.000,0.000,0.489,0.000,0.000
0.000,0.684,0.397,0.528,0.000,0.000,0.000
0.000,0.521,0.000,0.370,0.362,0.000,0.000
0.397,0.397,0.540,0.000,0.642,0.489,0.000
0.000,0.000,0.370,0.000,0.489,0.555,0.692
0.397,0.439,0.000,0.000,0.327,0.000,0.000
0.000,0.000,0.640,0.000,0.489,0.000,0.000
0.397,0.700,0.342,0.000,0.489,0.464,0.000
0.000,0.596,0.640,0.370,0.000,0.000,0.000
0.685,0.598,0.489,0.000,0.489,0.000,0.684
0.000,0.000,0.397,0.300,0.489,0.000,0.000
0.000,0.000,0.000,0.370,0.421,0.000,0.000
0.000,0.640,0.342,0.421,0.000,0.342,0.000
0.489,0.555,0.319,0.370,0.421,0.540,0.000
0.582,0.531,0.342,0.500,0.397,0.397,0.000
0.000,0.531,0.000,0.000,0.397,0.578,0.000
0.599,0.698,0.489,0.684,0.421,0.566,0.000
0.471,0.439,0.000,0.000,0.342,0.606,0.000
