halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.543,0.270,0.640,0.600,0.571,0.743,0.000
0.000,0.531,0.698,0.671,0.640,0.741,0.000
0.000,0.000,0.757,0.497,0.000,0.757,0.000
0.000,0.531,0.698,0.571,0.571,0.698,0.000
0.000,0.000,0.640,0.000,0.000,0.640,0.000
0.000,0.499,0.742,0.671,0.000,0.742,0.000
0.000,0.000,0.000,0.571,0.000,0.000,0.000
0.000,0.000,0.640,0.571,0.000,0.640,0.000
0.598,0.000,0.741,0.471,0.742,0.741,0.000
0.640,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.471,0.000,0.000,0.000
0.000,0.000,0.800,0.643,0.000,0.800,0.000
0.000,0.000,0.771,0.497,0.000,0.742,0.000
0.000,0.000,0.742,0.000,0.700,0.742,0.000
0.743,0.000,0.741,0.713,0.757,0.741,0.000
0.000,0.000,0.743,0.571,0.000,0.743,0.000
0.000,0.000,0.640,0.640,0.643,0.640,0.000
0.000,0.669,0.742,0.000,0.640,0.742,0.000
0.000,0.640,0.800,0.742,0.640,0.771,0.000
0.000,0.497,0.698,0.000,0.000,0.698,0.000
0.000,0.000,0.640,0.671,0.669,0.640,0.000
0.000,0.000,0.000,0.571,0.000,0.000,0.000
0.000,0.300,0.671,0.643,0.598,0.671,0.000
0.000,0.000,0.741,0.471,0.489,0.741,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.700,0.742,0.000,0.742,0.742,0.000
0.566,0.500,0.471,0.598,0.000,0.800,0.000
0.571,0.571,0.512,0.593,0.598,0.743,0.000
0.000,0.000,0.000,0.771,0.571,0.757,0.000
0.000,0.000,0.000,0.000,0.571,0.741,0.000
0.000,0.000,0.000,0.599,0.571,0.640,0.000
0.571,0.000,0.742,0.499,0.566,0.771,0.000
0.000,0.000,0.000,0.643,0.700,0.772,0.540
0.000,0.000,0.000,0.571,0.000,0.000,0.000
0.000,0.500,0.640,0.571,0.489,0.743,0.000
0.000,0.640,0.000,0.599,0.000,0.800,0.640
0.000,0.000,0.000,0.742,0.598,0.669,0.000
0.397,0.397,0.571,0.671,0.489,0.742,0.000
0.000,0.000,0.741,0.640,0.598,0.757,0.640
0.000,0.000,0.512,0.599,0.000,0.741,0.000
0.598,0.000,0.000,0.571,0.000,0.640,0.000
0.000,0.439,0.571,0.571,0.489,0.771,0.000
0.598,0.000,0.000,0.000,0.640,0.800,0.571
0.000,0.000,0.000,0.593,0.000,0.742,0.000
0.598,0.000,0.000,0.671,0.571,0.489,0.640
0.000,0.000,0.000,0.599,0.471,0.713,0.000
0.000,0.442,0.000,0.571,0.571,0.000,0.640
0.640,0.599,0.741,0.598,0.397,0.713,0.543
0.000,0.000,0.000,0.700,0.000,0.000,0.000
0.000,0.000,0.000,0.571,0.000,0.669,0.000
0.000,0.000,0.742,0.571,0.489,0.643,0.540
0.000,0.497,0.000,0.700,0.000,0.640,0.000
0.640,0.000,0.000,0.000,0.000,0.640,0.000
0.000,0.000,0.000,0.671,0.397,0.771,0.000
0.000,0.497,0.000,0.571,0.471,0.757,0.000
0.000,0.000,0.000,0.000,0.540,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.489,0.000,0.000,0.464,0.397,0.000,0.342
0.489,0.439,0.000,0.571,0.464,0.000,0.713
0.000,0.464,0.000,0.000,0.489,0.000,0.000
0.000,0.000,0.000,0.471,0.757,0.742,0.000
0.000,0.640,0.000,0.000,0.000,0.633,0.000
0.000,0.342,0.000,0.000,0.397,0.640,0.571
0.000,0.000,0.000,0.471,0.489,0.757,0.000
0.000,0.000,0.669,0.571,0.000,0.000,0.000
0.489,0.571,0.397,0.000,0.489,0.793,0.000
0.598,0.370,0.543,0.397,0.489,0.771,0.000
0.000,0.000,0.667,0.571,0.497,0.741,0.667
0.397,0.599,0.000,0.000,0.671,0.640,0.000
0.000,0.270,0.000,0.671,0.598,0.742,0.000
0.000,0.000,0.000,0.397,0.571,0.640,0.000
0.000,0.370,0.000,0.700,0.000,0.742,0.000
0.543,0.000,0.000,0.000,0.000,0.800,0.000
0.000,0.000,0.000,0.497,0.566,0.489,0.571
0.000,0.471,0.000,0.598,0.648,0.742,0.000
0.342,0.000,0.000,0.000,0.000,0.489,0.000
0.500,0.000,0.742,0.599,0.489,0.713,0.000
0.000,0.497,0.742,0.700,0.571,0.669,0.000
0.370,0.640,0.000,0.671,0.000,0.000,0.640
0.000,0.270,0.000,0.464,0.489,0.342,0.000
0.643,0.397,0.640,0.464,0.000,0.671,0.000
0.497,0.000,0.000,0.000,0.421,0.742,0.000
0.397,0.000,0.000,0.397,0.489,0.757,0.000
0.000,0.000,0.000,0.000,0.671,0.598,0.000
0.000,0.000,0.000,0.000,0.000,0.543,0.000
0.000,0.000,0.000,0.599,0.571,0.757,0.000
0.397,0.000,0.713,0.543,0.489,0.471,0.000
0.000,0.000,0.000,0.599,0.464,0.598,0.000
0.000,0.500,0.713,0.643,0.489,0.000,0.000
0.543,0.500,0.543,0.000,0.571,0.571,0.000
0.571,0.000,0.742,0.370,0.000,0.640,0.571
0.497,0.442,0.000,0.000,0.439,0.543,0.000
0.000,0.497,0.000,0.421,0.512,0.757,0.000
0.421,0.000,0.542,0.000,0.598,0.770,0.000
0.000,0.000,0.000,0.000,0.671,0.771,0.000
