aggr_halfsum_score,aggr_instruct_score,aggr_klora_score,aggr_style_instruct_score,aggr_theme_instruct_score
0.000,0.397,0.000,0.397,0.645
0.421,0.421,0.000,0.489,0.000
0.000,0.000,0.000,0.364,0.000
0.000,0.397,0.000,0.319,0.000
0.000,0.397,0.000,0.489,0.000
0.000,0.000,0.000,0.506,0.000
0.319,0.397,0.000,0.385,0.500
0.515,0.364,0.000,0.364,0.000
0.319,0.397,0.000,0.489,0.627
0.319,0.295,0.000,0.445,0.684
0.397,0.500,0.000,0.421,0.000
0.397,0.447,0.000,0.489,0.738
0.000,0.295,0.000,0.489,0.000
0.319,0.000,0.000,0.489,0.000
0.489,0.421,0.000,0.489,0.667
0.000,0.364,0.000,0.364,0.000
0.000,0.669,0.000,0.421,0.500
0.397,0.000,0.000,0.489,0.000
0.000,0.397,0.000,0.489,0.566
0.342,0.421,0.000,0.512,0.000
0.489,0.397,0.000,0.364,0.627
0.000,0.000,0.633,0.364,0.000
0.421,0.364,0.000,0.489,0.684
0.000,0.319,0.000,0.421,0.566
0.397,0.319,0.000,0.489,0.571
0.000,0.397,0.000,0.489,0.596
0.319,0.295,0.000,0.489,0.645
0.370,0.421,0.000,0.489,0.000
