column,group,ranker_normalized_rank,ranker_top1_rate,ranker_top3_rate,scorer_normalized_rank,scorer_top1_rate,scorer_top3_rate
agitational_ours_llama3,"(26-50, 76-100) no Style",0.46,,0.36,0.56,,0.4
agitational_ours_llama3,(51+) no Theme,0.58,,0.56,0.73,,0.66
agitational_ours_llama3,"(51-75) Style, not Theme",0.73,,0.8,0.83,,0.76
agitational_ours_llama3,"(76+) no Theme, no Style, General",0.53,,0.48,0.69,,0.62
agitational_ours_llama3,"(76-100) not Style, not Theme",0.55,,0.52,0.69,,0.56
agitational_ours_llama3,Overall,0.52,,0.46,0.64,,0.56
agitational_style_instruct_llama3,"(1-25) Style, Theme",0.21,,0.08,0.42,,0.24
agitational_style_instruct_llama3,"(1-25, 51-75) Style",0.4,,0.32,0.57,,0.4
agitational_style_instruct_llama3,(1-50) Theme,0.19,,0.06,0.41,,0.28
agitational_style_instruct_llama3,(101+) General,0.59,,0.55,0.64,,0.59
agitational_style_instruct_llama3,"(26-50) not Style, Theme",0.18,,0.04,0.39,,0.32
agitational_style_instruct_llama3,"(26-50, 76-100) no Style",0.39,,0.28,0.5,,0.48
agitational_style_instruct_llama3,(51+) no Theme,0.59,,0.54,0.65,,0.6
agitational_style_instruct_llama3,"(51-75) Style, not Theme",0.59,,0.56,0.71,,0.56
agitational_style_instruct_llama3,"(76+) no Theme, no Style, General",0.59,,0.54,0.63,,0.61
agitational_style_instruct_llama3,"(76-100) not Style, not Theme",0.59,,0.52,0.61,,0.64
agitational_style_instruct_llama3,Overall,0.45,,0.38,0.56,,0.49
agitational_theme_instruct_llama3,"(1-25) Style, Theme",0.48,,0.44,0.48,,0.56
agitational_theme_instruct_llama3,"(1-25, 51-75) Style",0.43,,0.4,0.44,,0.3
agitational_theme_instruct_llama3,(1-50) Theme,0.46,,0.42,0.53,,0.52
agitational_theme_instruct_llama3,(101+) General,0.35,,0.25,0.39,,0.27
agitational_theme_instruct_llama3,"(26-50) not Style, Theme",0.45,,0.4,0.59,,0.48
agitational_theme_instruct_llama3,"(26-50, 76-100) no Style",0.42,,0.38,0.54,,0.44
agitational_theme_instruct_llama3,(51+) no Theme,0.37,,0.31,0.42,,0.24
agitational_theme_instruct_llama3,"(51-75) Style, not Theme",0.37,,0.36,0.41,,0.04
agitational_theme_instruct_llama3,"(76+) no Theme, no Style, General",0.37,,0.29,0.43,,0.32
agitational_theme_instruct_llama3,"(76-100) not Style, not Theme",0.4,,0.36,0.5,,0.4
agitational_theme_instruct_llama3,Overall,0.4,,0.35,0.46,,0.34
