agitational_augmented_more_score,halfsum_score,instruct_score,k_lora_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.599,0.000,0.000,0.000,0.000,0.000,0.000
0.439,0.000,0.000,0.000,0.000,0.531,0.000
0.000,0.000,0.000,0.000,0.397,0.640,0.000
0.471,0.000,0.571,0.000,0.671,0.669,0.000
0.000,0.000,0.000,0.497,0.489,0.633,0.000
0.515,0.000,0.370,0.000,0.399,0.667,0.471
0.000,0.000,0.000,0.000,0.497,0.000,0.468
0.700,0.571,0.000,0.669,0.543,0.698,0.000
0.000,0.713,0.000,0.497,0.543,0.667,0.000
0.471,0.000,0.439,0.000,0.700,0.770,0.000
0.000,0.000,0.000,0.000,0.464,0.489,0.464
0.471,0.598,0.000,0.000,0.000,0.770,0.489
0.000,0.000,0.000,0.000,0.671,0.000,0.000
0.571,0.000,0.000,0.000,0.471,0.000,0.000
0.400,0.523,0.571,0.667,0.489,0.000,0.000
0.669,0.000,0.000,0.000,0.671,0.633,0.531
0.397,0.000,0.370,0.000,0.000,0.717,0.000
0.599,0.598,0.300,0.370,0.523,0.671,0.640
0.000,0.640,0.000,0.669,0.397,0.667,0.540
0.397,0.000,0.000,0.000,0.397,0.700,0.000
0.370,0.000,0.000,0.571,0.397,0.640,0.667
0.640,0.000,0.439,0.000,0.000,0.669,0.543
0.000,0.000,0.000,0.000,0.543,0.616,0.000
0.599,0.523,0.000,0.000,0.397,0.000,0.500
0.468,0.000,0.000,0.000,0.000,0.698,0.531
0.566,0.599,0.000,0.000,0.000,0.640,0.000
0.000,0.000,0.300,0.000,0.000,0.000,0.000
0.442,0.000,0.000,0.000,0.370,0.596,0.599
0.600,0.000,0.300,0.000,0.000,0.633,0.000
0.000,0.000,0.342,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.667,0.000
0.000,0.000,0.471,0.370,0.489,0.439,0.640
0.370,0.698,0.464,0.000,0.397,0.633,0.370
0.700,0.000,0.000,0.000,0.000,0.582,0.000
0.000,0.000,0.000,0.000,0.342,0.684,0.000
0.000,0.578,0.439,0.000,0.397,0.770,0.596
0.598,0.000,0.000,0.000,0.500,0.000,0.000
0.327,0.000,0.000,0.000,0.598,0.727,0.000
0.000,0.397,0.000,0.582,0.489,0.531,0.582
0.521,0.598,0.370,0.598,0.598,0.742,0.578
0.515,0.643,0.000,0.669,0.000,0.771,0.633
0.700,0.000,0.342,0.000,0.700,0.667,0.439
0.489,0.000,0.000,0.000,0.598,0.640,0.000
0.000,0.000,0.000,0.000,0.000,0.633,0.000
0.439,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.599,0.000,0.000
0.000,0.000,0.000,0.000,0.598,0.698,0.000
0.571,0.571,0.000,0.000,0.489,0.637,0.669
0.000,0.000,0.000,0.000,0.489,0.698,0.582
0.000,0.370,0.000,0.000,0.489,0.667,0.000
0.342,0.000,0.000,0.489,0.000,0.717,0.000
0.397,0.000,0.000,0.489,0.000,0.633,0.633
0.669,0.000,0.000,0.000,0.000,0.000,0.000
0.566,0.000,0.000,0.000,0.397,0.700,0.531
0.571,0.000,0.000,0.000,0.543,0.000,0.000
0.397,0.000,0.500,0.000,0.471,0.698,0.669
0.397,0.000,0.000,0.000,0.439,0.000,0.596
0.571,0.000,0.000,0.000,0.000,0.700,0.000
0.000,0.000,0.000,0.000,0.397,0.700,0.000
0.471,0.540,0.000,0.397,0.421,0.640,0.000
0.600,0.000,0.000,0.000,0.000,0.684,0.000
0.648,0.000,0.370,0.633,0.000,0.000,0.000
0.598,0.471,0.000,0.667,0.598,0.667,0.620
0.000,0.000,0.342,0.578,0.397,0.471,0.439
0.000,0.000,0.000,0.000,0.471,0.407,0.370
0.000,0.471,0.500,0.596,0.685,0.667,0.000
0.598,0.489,0.000,0.397,0.489,0.471,0.000
0.000,0.000,0.000,0.000,0.497,0.633,0.000
0.770,,,,,,
