column,group,ranker_normalized_rank,ranker_top1_rate,ranker_top3_rate,scorer_normalized_rank,scorer_top1_rate,scorer_top3_rate
cheerful_klora_llama3,"(1-25) Style, Theme",0.75,,0.84,0.55,,0.48
cheerful_klora_llama3,"(1-25, 51-75) Style",0.69,,0.7,0.46,,0.28
cheerful_klora_llama3,(1-50) Theme,0.7,,0.78,0.59,,0.58
cheerful_klora_llama3,(101+) General,0.47,,0.41,0.38,,0.3
cheerful_klora_llama3,"(26-50) not Style, Theme",0.66,,0.72,0.62,,0.68
cheerful_klora_llama3,"(26-50, 76-100) no Style",0.59,,0.62,0.51,,0.48
cheerful_klora_llama3,(51+) no Theme,0.53,,0.48,0.38,,0.23
cheerful_klora_llama3,"(51-75) Style, not Theme",0.64,,0.56,0.37,,0.08
cheerful_klora_llama3,"(76+) no Theme, no Style, General",0.49,,0.45,0.38,,0.29
cheerful_klora_llama3,"(76-100) not Style, not Theme",0.53,,0.52,0.39,,0.28
cheerful_klora_llama3,Overall,0.59,,0.58,0.45,,0.35
cheerful_ours_llama3,"(1-25) Style, Theme",0.23,,0.04,0.35,,0.24
cheerful_ours_llama3,"(1-25, 51-75) Style",0.41,,0.32,0.55,,0.46
cheerful_ours_llama3,(1-50) Theme,0.37,,0.24,0.45,,0.36
cheerful_ours_llama3,(101+) General,0.54,,0.43,0.64,,0.59
cheerful_ours_llama3,"(26-50) not Style, Theme",0.51,,0.44,0.56,,0.48
cheerful_ours_llama3,"(26-50, 76-100) no Style",0.56,,0.52,0.63,,0.56
cheerful_ours_llama3,(51+) no Theme,0.57,,0.52,0.69,,0.63
cheerful_ours_llama3,"(51-75) Style, not Theme",0.59,,0.6,0.76,,0.68
cheerful_ours_llama3,"(76+) no Theme, no Style, General",0.56,,0.49,0.66,,0.61
cheerful_ours_llama3,"(76-100) not Style, not Theme",0.61,,0.6,0.69,,0.64
cheerful_ours_llama3,Overall,0.5,,0.42,0.61,,0.53
cheerful_style_instruct_llama3,"(1-25) Style, Theme",0.16,,0.04,0.34,,0.24
cheerful_style_instruct_llama3,"(1-25, 51-75) Style",0.2,,0.08,0.43,,0.28
cheerful_style_instruct_llama3,(1-50) Theme,0.1,,0.02,0.26,,0.14
cheerful_style_instruct_llama3,(101+) General,0.2,,0.07,0.41,,0.18
cheerful_style_instruct_llama3,"(26-50) not Style, Theme",0.04,,0.0,0.19,,0.04
cheerful_style_instruct_llama3,"(26-50, 76-100) no Style",0.09,,0.0,0.34,,0.2
cheerful_style_instruct_llama3,(51+) no Theme,0.19,,0.06,0.46,,0.27
cheerful_style_instruct_llama3,"(51-75) Style, not Theme",0.23,,0.12,0.53,,0.32
cheerful_style_instruct_llama3,"(76+) no Theme, no Style, General",0.18,,0.04,0.43,,0.25
cheerful_style_instruct_llama3,"(76-100) not Style, not Theme",0.15,,0.0,0.49,,0.36
cheerful_style_instruct_llama3,Overall,0.16,,0.05,0.39,,0.22
cheerful_theme_instruct_llama3,"(1-25) Style, Theme",0.55,,0.56,0.51,,0.4
cheerful_theme_instruct_llama3,"(1-25, 51-75) Style",0.47,,0.44,0.43,,0.24
cheerful_theme_instruct_llama3,(1-50) Theme,0.57,,0.56,0.58,,0.56
cheerful_theme_instruct_llama3,(101+) General,0.6,,0.61,0.49,,0.39
cheerful_theme_instruct_llama3,"(26-50) not Style, Theme",0.59,,0.56,0.65,,0.72
cheerful_theme_instruct_llama3,"(26-50, 76-100) no Style",0.6,,0.6,0.55,,0.52
cheerful_theme_instruct_llama3,(51+) no Theme,0.54,,0.54,0.44,,0.29
cheerful_theme_instruct_llama3,"(51-75) Style, not Theme",0.38,,0.32,0.35,,0.08
cheerful_theme_instruct_llama3,"(76+) no Theme, no Style, General",0.6,,0.62,0.47,,0.36
cheerful_theme_instruct_llama3,"(76-100) not Style, not Theme",0.61,,0.64,0.45,,0.32
cheerful_theme_instruct_llama3,Overall,0.55,,0.55,0.49,,0.38
