column,group,normalized_rank,top2_rate,top3_rate
cheerful_style_instruct_llama3,"(76-100) not Style, not Theme",0.49,0.24,0.36
cheerful_theme_instruct_llama3,"(76-100) not Style, not Theme",0.45,0.32,0.32
cheerful_baseline_llama3,(101+) General,0.85,0.8,0.91
cheerful_halfsum_llama3,(101+) General,0.31,0.07,0.14
cheerful_instruct_llama3,(101+) General,0.45,0.11,0.34
cheerful_klora_llama3,(101+) General,0.38,0.25,0.3
cheerful_ours_llama3,(101+) General,0.64,0.45,0.59
cheerful_style_instruct_llama3,(101+) General,0.41,0.05,0.18
cheerful_theme_instruct_llama3,(101+) General,0.49,0.3,0.39
cheerful_baseline_llama3,(1-50) Theme,0.82,0.74,0.92
cheerful_halfsum_llama3,(1-50) Theme,0.55,0.28,0.42
cheerful_instruct_llama3,(1-50) Theme,0.28,0.02,0.06
cheerful_klora_llama3,(1-50) Theme,0.59,0.36,0.58
cheerful_ours_llama3,(1-50) Theme,0.45,0.28,0.36
cheerful_style_instruct_llama3,(1-50) Theme,0.26,0.08,0.14
cheerful_theme_instruct_llama3,(1-50) Theme,0.58,0.44,0.56
cheerful_baseline_llama3,(51+) no Theme,0.74,0.64,0.71
cheerful_halfsum_llama3,(51+) no Theme,0.34,0.07,0.14
cheerful_instruct_llama3,(51+) no Theme,0.46,0.13,0.31
cheerful_klora_llama3,(51+) no Theme,0.38,0.18,0.23
cheerful_ours_llama3,(51+) no Theme,0.69,0.49,0.63
cheerful_style_instruct_llama3,(51+) no Theme,0.46,0.16,0.27
cheerful_theme_instruct_llama3,(51+) no Theme,0.44,0.23,0.29
cheerful_baseline_llama3,"(76+) no Theme, no Style, General",0.78,0.7,0.78
cheerful_halfsum_llama3,"(76+) no Theme, no Style, General",0.35,0.09,0.17
cheerful_instruct_llama3,"(76+) no Theme, no Style, General",0.43,0.12,0.29
cheerful_klora_llama3,"(76+) no Theme, no Style, General",0.38,0.22,0.29
cheerful_ours_llama3,"(76+) no Theme, no Style, General",0.66,0.45,0.61
cheerful_style_instruct_llama3,"(76+) no Theme, no Style, General",0.43,0.12,0.25
cheerful_theme_instruct_llama3,"(76+) no Theme, no Style, General",0.47,0.3,0.36
cheerful_baseline_llama3,"(1-25, 51-75) Style",0.71,0.58,0.72
cheerful_halfsum_llama3,"(1-25, 51-75) Style",0.54,0.28,0.38
cheerful_instruct_llama3,"(1-25, 51-75) Style",0.38,0.1,0.22
cheerful_klora_llama3,"(1-25, 51-75) Style",0.46,0.2,0.28
cheerful_ours_llama3,"(1-25, 51-75) Style",0.55,0.36,0.46
cheerful_style_instruct_llama3,"(1-25, 51-75) Style",0.43,0.22,0.28
cheerful_theme_instruct_llama3,"(1-25, 51-75) Style",0.43,0.18,0.24
cheerful_baseline_llama3,"(26-50, 76-100) no Style",0.76,0.66,0.74
cheerful_halfsum_llama3,"(26-50, 76-100) no Style",0.38,0.08,0.18
cheerful_instruct_llama3,"(26-50, 76-100) no Style",0.35,0.06,0.12
cheerful_klora_llama3,"(26-50, 76-100) no Style",0.51,0.28,0.48
cheerful_ours_llama3,"(26-50, 76-100) no Style",0.63,0.44,0.56
cheerful_style_instruct_llama3,"(26-50, 76-100) no Style",0.34,0.12,0.2
cheerful_theme_instruct_llama3,"(26-50, 76-100) no Style",0.55,0.44,0.52
