column,group,normalized_rank,top2_rate,top3_rate
cheerful_theme_instruct_llama3,(51+) no Theme,0.54,0.36,0.54
cheerful_baseline_llama3,"(76+) no Theme, no Style, General",0.89,0.91,0.97
cheerful_halfsum_llama3,"(76+) no Theme, no Style, General",0.34,0.06,0.12
cheerful_instruct_llama3,"(76+) no Theme, no Style, General",0.43,0.07,0.3
cheerful_klora_llama3,"(76+) no Theme, no Style, General",0.49,0.3,0.45
cheerful_ours_llama3,"(76+) no Theme, no Style, General",0.56,0.26,0.49
cheerful_style_instruct_llama3,"(76+) no Theme, no Style, General",0.18,0.0,0.04
cheerful_theme_instruct_llama3,"(76+) no Theme, no Style, General",0.6,0.39,0.62
cheerful_baseline_llama3,"(1-25, 51-75) Style",0.88,0.8,0.92
cheerful_halfsum_llama3,"(1-25, 51-75) Style",0.51,0.12,0.4
cheerful_instruct_llama3,"(1-25, 51-75) Style",0.34,0.08,0.14
cheerful_klora_llama3,"(1-25, 51-75) Style",0.69,0.54,0.7
cheerful_ours_llama3,"(1-25, 51-75) Style",0.41,0.22,0.32
cheerful_style_instruct_llama3,"(1-25, 51-75) Style",0.2,0.04,0.08
cheerful_theme_instruct_llama3,"(1-25, 51-75) Style",0.47,0.2,0.44
cheerful_baseline_llama3,"(26-50, 76-100) no Style",0.89,0.9,0.98
cheerful_halfsum_llama3,"(26-50, 76-100) no Style",0.44,0.04,0.2
cheerful_instruct_llama3,"(26-50, 76-100) no Style",0.32,0.02,0.08
cheerful_klora_llama3,"(26-50, 76-100) no Style",0.59,0.36,0.62
cheerful_ours_llama3,"(26-50, 76-100) no Style",0.56,0.3,0.52
cheerful_style_instruct_llama3,"(26-50, 76-100) no Style",0.09,0.0,0.0
cheerful_theme_instruct_llama3,"(26-50, 76-100) no Style",0.6,0.38,0.6
