halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.000,0.657,0.000,0.671,0.000,0.397,0.613
0.000,0.800,0.000,0.515,0.000,0.397,0.757
0.000,0.800,0.000,0.397,0.000,0.397,0.857
0.713,0.800,0.000,0.421,0.700,0.421,0.669
0.489,0.842,0.000,0.000,0.000,0.000,0.800
0.000,0.742,0.000,0.489,0.000,0.000,0.000
0.000,0.770,0.000,0.500,0.770,0.000,0.770
0.000,0.770,0.000,0.642,0.000,0.397,0.669
0.000,0.669,0.000,0.657,0.000,0.397,0.770
0.472,0.742,0.397,0.421,0.489,0.445,0.770
0.000,0.742,0.000,0.397,0.000,0.397,0.397
0.000,0.800,0.000,0.599,0.000,0.489,0.770
0.000,0.671,0.000,0.445,0.445,0.421,0.742
0.000,0.842,0.000,0.489,0.000,0.397,0.757
0.000,0.800,0.000,0.489,0.000,0.370,0.742
0.000,0.700,0.543,0.489,0.648,0.000,0.667
0.000,0.713,0.000,0.397,0.000,0.397,0.640
0.000,0.471,0.000,0.370,0.471,0.397,0.637
0.000,0.800,0.000,0.742,0.471,0.000,0.757
0.000,0.770,0.000,0.000,0.000,0.370,0.000
0.000,0.800,0.000,0.000,0.000,0.397,0.770
0.000,0.770,0.000,0.000,0.000,0.000,0.000
0.000,0.770,0.000,0.770,0.445,0.397,0.700
0.000,0.770,0.000,0.571,0.540,0.370,0.643
0.000,0.738,0.000,0.717,0.000,0.397,0.000
0.000,0.770,0.000,0.000,0.000,0.357,0.770
0.000,0.770,0.000,0.000,0.000,0.370,0.770
0.000,0.842,0.000,0.000,0.000,0.421,0.742
0.000,0.471,0.000,0.000,0.000,0.000,0.842
0.000,0.738,0.000,0.471,0.000,0.397,0.000
0.000,0.667,0.000,0.713,0.000,0.342,0.741
0.000,0.800,0.000,0.793,0.512,0.421,0.770
0.000,0.770,0.000,0.757,0.000,0.445,0.620
0.000,0.770,0.000,0.397,0.000,0.397,0.669
0.000,0.770,0.000,0.000,0.000,0.397,0.684
0.000,0.738,0.000,0.000,0.000,0.397,0.000
0.000,0.770,0.000,0.742,0.000,0.000,0.800
0.000,0.770,0.000,0.640,0.000,0.000,0.571
0.000,0.800,0.000,0.397,0.489,0.342,0.800
0.000,0.671,0.000,0.471,0.000,0.370,0.000
0.000,0.738,0.000,0.669,0.000,0.342,0.800
0.000,0.669,0.000,0.000,0.000,0.397,0.800
0.000,0.841,0.000,0.000,0.000,0.397,0.742
0.000,0.598,0.000,0.000,0.000,0.397,0.497
0.000,0.770,0.000,0.000,0.000,0.000,0.620
0.000,0.742,0.000,0.442,0.000,0.445,0.742
0.000,0.771,0.000,0.421,0.000,0.000,0.770
0.000,0.800,0.000,0.471,0.000,0.397,0.667
0.000,0.771,0.000,0.640,0.000,0.000,0.633
0.000,0.770,0.000,0.000,0.669,0.421,0.000
0.000,0.000,0.000,0.540,0.000,0.421,0.500
0.000,0.770,0.000,0.640,0.489,0.397,0.770
0.000,0.800,0.000,0.397,0.421,0.370,0.640
0.669,0.770,0.000,0.000,0.770,0.000,0.800
0.000,0.770,0.000,0.370,0.000,0.370,0.757
0.000,0.770,0.000,0.471,0.000,0.397,0.497
0.000,0.770,0.000,0.669,0.000,0.397,0.669
0.000,0.770,0.000,0.700,0.000,0.397,0.657
0.000,0.770,0.000,0.713,0.000,0.397,0.800
0.000,0.767,0.000,0.523,0.598,0.397,0.640
